,propensity,flux intensity,Type
MORCPR_LUNG,0.4521,14.978388800911564,LUNG
MSTO211H_PLEURA,0.5798,9.502510379260595,PLEURA
MUTZ5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.5681,10.48424496228509,HAEMATOPOIETIC AND LYMPHOID TISSUE
NALM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.5659,10.571509935348494,HAEMATOPOIETIC AND LYMPHOID TISSUE
NALM6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.567,10.491333840844508,HAEMATOPOIETIC AND LYMPHOID TISSUE
NAMALWA_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.5451,7.449200086514257,HAEMATOPOIETIC AND LYMPHOID TISSUE
NB1_AUTONOMIC_GANGLIA,0.3846,14.990528863916996,AUTONOMIC GANGLIA
NB4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.5372,7.664270130508921,HAEMATOPOIETIC AND LYMPHOID TISSUE
NCIH1048_LUNG,0.3899,13.550261409707652,LUNG
NCIH1092_LUNG,0.4721,10.898137269089816,LUNG
NCIH1105_LUNG,0.473,11.22238886730582,LUNG
NCIH1184_LUNG,0.4647,11.692323645382656,LUNG
NCIH1299_LUNG,0.5762,9.374946897273144,LUNG
NCIH1339_LUNG,0.5772,9.50461255486046,LUNG
NCIH1341_LUNG,0.4479,12.070254237610683,LUNG
NCIH1373_LUNG,0.4203,18.16323880526558,LUNG
NCIH1385_LUNG,0.4714,8.379396781823841,LUNG
NCIH1395_LUNG,0.4507,16.064319858868057,LUNG
NCIH1435_LUNG,0.3728,18.47696715685701,LUNG
NCIH1437_LUNG,0.4572,15.84745078456226,LUNG
NCIH146_LUNG,0.4711,10.06010684795231,LUNG
NCIH1563_LUNG,0.4687,15.1735725256875,LUNG
NCIH1568_LUNG,0.4575,12.80053879311709,LUNG
NCIH1623_LUNG,0.464,15.71724712464785,LUNG
NCIH1650_LUNG,0.4696,12.589739477220414,LUNG
NCIH1693_LUNG,0.592,9.734053835260548,LUNG
NCIH1703_LUNG,0.5757,9.469772133780287,LUNG
NCIH1734_LUNG,0.3945,18.42541421103806,LUNG
NCIH1755_LUNG,0.4995,12.853131048848311,LUNG
NCIH1781_LUNG,0.3977,19.503574894101465,LUNG
NCIH1792_LUNG,0.5326,13.360983619190783,LUNG
NCIH1838_LUNG,0.4019,19.565329768727032,LUNG
NCIH1869_LUNG,0.4482,16.38356601485898,LUNG
NCIH1915_LUNG,0.5906,9.555649724624445,LUNG
NCIH1930_LUNG,0.4717,11.39062503629301,LUNG
NCIH1944_LUNG,0.4608,16.58376151021292,LUNG
NCIH1963_LUNG,0.4708,11.326389322303642,LUNG
NCIH196_LUNG,0.4634,14.41674968812446,LUNG
NCIH1975_LUNG,0.4542,16.456307722464633,LUNG
NCIH2030_LUNG,0.5948,10.312349141691032,LUNG
NCIH2052_PLEURA,0.5827,9.902714439120995,PLEURA
NCIH2073_LUNG,0.4451,16.418039616535406,LUNG
NCIH209_LUNG,0.4718,10.425315350232728,LUNG
NCIH2110_LUNG,0.4428,16.112668719047935,LUNG
NCIH211_LUNG,0.5239,10.008549873576522,LUNG
NCIH2122_LUNG,0.4463,16.219357626247785,LUNG
NCIH2170_LUNG,0.4488,16.211040172466078,LUNG
NCIH2172_LUNG,0.5942,10.54832228064433,LUNG
NCIH2228_LUNG,0.3944,19.05028692455664,LUNG
NCIH226_LUNG,0.6017,10.02987939471105,LUNG
NCIH2286_LUNG,0.5797,9.64888131620277,LUNG
NCIH2291_LUNG,0.4031,20.363760167127083,LUNG
NCIH2347_LUNG,0.4078,19.994193952306084,LUNG
NCIH23_LUNG,0.5769,9.757253102755648,LUNG
NCIH2405_LUNG,0.4558,17.024342397695445,LUNG
NCIH2444_LUNG,0.467,15.758898296294271,LUNG
NCIH2452_PLEURA,0.5964,10.7254932133391,PLEURA
NCIH28_PLEURA,0.4681,17.05299730996322,PLEURA
NCIH292_LUNG,0.489,14.10114102988311,LUNG
NCIH322_LUNG,0.4706,15.633265932435268,LUNG
NCIH3255_LUNG,0.4051,20.810170182063555,LUNG
NCIH358_LUNG,0.406,18.65223749864108,LUNG
NCIH441_LUNG,0.4044,21.16518769645568,LUNG
NCIH446_LUNG,0.3741,15.438766232838026,LUNG
NCIH460_LUNG,0.5688,12.17295969179252,LUNG
NCIH508_LARGE_INTESTINE,0.3201,14.707813257490896,LARGE INTESTINE
NCIH520_LUNG,0.467,12.35921350133399,LUNG
NCIH522_LUNG,0.578,9.631880509241173,LUNG
NCIH524_LUNG,0.3706,15.354303017114397,LUNG
NCIH526_LUNG,0.452,11.868930535776164,LUNG
NCIH596_LUNG,0.4283,16.53626139825146,LUNG
NCIH647_LUNG,0.4645,16.114166324021095,LUNG
NCIH660_PROSTATE,0.4704,9.087433729270812,PROSTATE
NCIH661_LUNG,0.5804,9.813674653149004,LUNG
NCIH69_LUNG,0.4749,11.494426253308395,LUNG
NCIH716_LARGE_INTESTINE,0.4317,12.277316894694785,LARGE INTESTINE
NCIH727_LUNG,0.3897,13.161091177472484,LUNG
NCIH747_LARGE_INTESTINE,0.4109,18.588207815153552,LARGE INTESTINE
NCIH82_LUNG,0.3786,14.759917971841704,LUNG
NCIH838_LUNG,0.5969,9.870311208183953,LUNG
NCIH854_LUNG,0.3202,14.531800267375946,LUNG
NCIH889_LUNG,0.4719,10.36743358675275,LUNG
NCIH929_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.5377,7.1159617747028205,HAEMATOPOIETIC AND LYMPHOID TISSUE
NCIN87_STOMACH,0.3705,20.96871972048364,STOMACH
NCO2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.4423,18.166805138995816,HAEMATOPOIETIC AND LYMPHOID TISSUE
NIHOVCAR3_OVARY,0.4112,21.133682942813927,OVARY
NOMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.5406,7.523375065509808,HAEMATOPOIETIC AND LYMPHOID TISSUE
NUDHL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.5452,7.551906885773757,HAEMATOPOIETIC AND LYMPHOID TISSUE
NUDUL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.5619,7.636495589685934,HAEMATOPOIETIC AND LYMPHOID TISSUE
NUGC2_STOMACH,0.463,14.149450451155062,STOMACH
NUGC3_STOMACH,0.527,12.98219605596316,STOMACH
NUGC4_STOMACH,0.3206,13.891583308720683,STOMACH
OC314_OVARY,0.4527,16.805047754815337,OVARY
OCIAML2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.5404,7.5244935887049555,HAEMATOPOIETIC AND LYMPHOID TISSUE
OCILY3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.5339,7.533228668246225,HAEMATOPOIETIC AND LYMPHOID TISSUE
OE19_OESOPHAGUS,0.3176,13.00107703317629,OESOPHAGUS
OE21_OESOPHAGUS,0.5884,11.695661767652142,OESOPHAGUS
OE33_OESOPHAGUS,0.408,19.27255104895024,OESOPHAGUS
ONCODG1_OVARY,0.4535,21.694016447880973,OVARY
ONS76_CENTRAL_NERVOUS_SYSTEM,0.4641,16.608316252349155,CENTRAL NERVOUS SYSTEM
OPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.5378,7.104558007858463,HAEMATOPOIETIC AND LYMPHOID TISSUE
OSRC2_KIDNEY,0.4715,17.24423680642087,KIDNEY
OVCAR4_OVARY,0.4627,21.16290893259464,OVARY
OVCAR8_OVARY,0.5826,9.941200680736252,OVARY
OVISE_OVARY,0.4225,22.093480768945263,OVARY
OVKATE_OVARY,0.4237,20.455408368621114,OVARY
OVMANA_OVARY,0.4193,20.1171598095463,OVARY
OVSAHO_OVARY,0.464,21.618416520195773,OVARY
OVTOKO_OVARY,0.4162,20.394533363736084,OVARY
P12ICHIKAWA_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.554,7.351240733158716,HAEMATOPOIETIC AND LYMPHOID TISSUE
P31FUJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.5387,7.5837174219060275,HAEMATOPOIETIC AND LYMPHOID TISSUE
P3HR1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.5545,7.093869429670679,HAEMATOPOIETIC AND LYMPHOID TISSUE
PANC0203_PANCREAS,0.4427,16.388441164892345,PANCREAS
PANC0213_PANCREAS,0.4759,11.87829228207253,PANCREAS
PANC0327_PANCREAS,0.4696,15.862882163593431,PANCREAS
PANC0403_PANCREAS,0.4446,16.2013078306924,PANCREAS
PANC0504_PANCREAS,0.4336,17.147325824060168,PANCREAS
PANC0813_PANCREAS,0.4382,17.27812141627857,PANCREAS
PANC1005_PANCREAS,0.4113,18.610342958053952,PANCREAS
PC14_LUNG,0.4622,15.776436289313883,LUNG
PEER_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.5554,7.566309174202621,HAEMATOPOIETIC AND LYMPHOID TISSUE
PF382_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.555,7.348488899584236,HAEMATOPOIETIC AND LYMPHOID TISSUE
PFEIFFER_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.5348,7.351635920137217,HAEMATOPOIETIC AND LYMPHOID TISSUE
PK1_PANCREAS,0.4712,15.66886882951284,PANCREAS
PK45H_PANCREAS,0.4613,16.553495196132925,PANCREAS
PK59_PANCREAS,0.432,16.34886076757933,PANCREAS
PL21_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.5386,7.54322485017674,HAEMATOPOIETIC AND LYMPHOID TISSUE
PSN1_PANCREAS,0.4664,16.5906711257947,PANCREAS
QGP1_PANCREAS,0.3958,8.941206392877138,PANCREAS
RAJI_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.5454,7.32640244013259,HAEMATOPOIETIC AND LYMPHOID TISSUE
RCHACV_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.5603,10.45459323942595,HAEMATOPOIETIC AND LYMPHOID TISSUE
RDES_BONE,0.5669,10.038079428504831,BONE
REC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.5372,7.402457326682294,HAEMATOPOIETIC AND LYMPHOID TISSUE
REH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.5606,9.848842550585069,HAEMATOPOIETIC AND LYMPHOID TISSUE
RERFGC1B_STOMACH,0.4514,12.410025057358313,STOMACH
RERFLCAD1_LUNG,0.4034,21.12700796553264,LUNG
RERFLCAD2_LUNG,0.4695,15.679309812483742,LUNG
RERFLCKJ_LUNG,0.4324,16.264489951997177,LUNG
RERFLCSQ1_LUNG,0.4646,13.923920737551615,LUNG
RH18_SOFT_TISSUE,0.4705,13.8720065181777,SOFT TISSUE
RH30_SOFT_TISSUE,0.487,13.410389848291846,SOFT TISSUE
RH41_SOFT_TISSUE,0.4753,13.890773726901951,SOFT TISSUE
RI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.5362,7.419493379062806,HAEMATOPOIETIC AND LYMPHOID TISSUE
RL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.5608,6.98630156751887,HAEMATOPOIETIC AND LYMPHOID TISSUE
RPMI8226_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.5369,7.174466501751289,HAEMATOPOIETIC AND LYMPHOID TISSUE
RPMI8402_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.5539,7.422241649123817,HAEMATOPOIETIC AND LYMPHOID TISSUE
RS411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.568,8.763501086113862,HAEMATOPOIETIC AND LYMPHOID TISSUE
RT112_URINARY_TRACT,0.4627,15.9753022155057,URINARY TRACT
RVH421_SKIN,0.6153,10.742488098009687,SKIN
SET2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.4347,19.402251854258136,HAEMATOPOIETIC AND LYMPHOID TISSUE
SF268_CENTRAL_NERVOUS_SYSTEM,0.4995,12.833675562079598,CENTRAL NERVOUS SYSTEM
SF295_CENTRAL_NERVOUS_SYSTEM,0.4713,13.576396595655156,CENTRAL NERVOUS SYSTEM
SF539_CENTRAL_NERVOUS_SYSTEM,0.4628,14.31453644820544,CENTRAL NERVOUS SYSTEM
SH10TC_STOMACH,0.613,9.993776901366704,STOMACH
SHP77_LUNG,0.4698,8.238476112739745,LUNG
SIMA_AUTONOMIC_GANGLIA,0.3441,17.04875141981007,AUTONOMIC GANGLIA
SJSA1_BONE,0.4655,14.28612039959016,BONE
SKM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.5381,7.610501670325572,HAEMATOPOIETIC AND LYMPHOID TISSUE
SKMEL30_SKIN,0.6158,10.732592495239984,SKIN
SKMEL5_SKIN,0.6159,10.73700957325922,SKIN
SKMM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.5389,7.11003666104664,HAEMATOPOIETIC AND LYMPHOID TISSUE
SNB75_CENTRAL_NERVOUS_SYSTEM,0.4663,14.384767534863228,CENTRAL NERVOUS SYSTEM
SNU1033_LARGE_INTESTINE,0.3314,14.577563681559154,LARGE INTESTINE
SNU1040_LARGE_INTESTINE,0.3205,15.501977129584864,LARGE INTESTINE
SNU1041_UPPER_AERODIGESTIVE_TRACT,0.5781,11.567596908360011,UPPER AERODIGESTIVE TRACT
SNU1066_UPPER_AERODIGESTIVE_TRACT,0.5749,10.34959005138447,UPPER AERODIGESTIVE TRACT
SNU1076_UPPER_AERODIGESTIVE_TRACT,0.5731,11.00617683086127,UPPER AERODIGESTIVE TRACT
SNU1077_ENDOMETRIUM,0.4154,21.810551209874014,ENDOMETRIUM
SNU1079_BILIARY_TRACT,0.4323,18.10206037441269,BILIARY TRACT
SNU1105_CENTRAL_NERVOUS_SYSTEM,0.467,14.099950200971154,CENTRAL NERVOUS SYSTEM
SNU1196_BILIARY_TRACT,0.3737,19.573262799370937,BILIARY TRACT
SNU119_OVARY,0.4156,22.382060949217493,OVARY
SNU1214_UPPER_AERODIGESTIVE_TRACT,0.5823,11.528088710422889,UPPER AERODIGESTIVE TRACT
SNU1272_KIDNEY,0.4692,17.181748201921383,KIDNEY
SNU16_STOMACH,0.3006,13.086564196882708,STOMACH
SNU175_LARGE_INTESTINE,0.3123,14.056327948967322,LARGE INTESTINE
SNU182_LIVER,0.476,13.6808860444567,LIVER
SNU1_STOMACH,0.5825,9.88999258485317,STOMACH
SNU201_CENTRAL_NERVOUS_SYSTEM,0.4657,14.46479032915249,CENTRAL NERVOUS SYSTEM
SNU213_PANCREAS,0.4578,16.0501149357709,PANCREAS
SNU216_STOMACH,0.4402,16.64172967309999,STOMACH
SNU245_BILIARY_TRACT,0.3058,13.404388986452666,BILIARY TRACT
SNU283_LARGE_INTESTINE,0.3076,13.655040841013998,LARGE INTESTINE
SNU308_BILIARY_TRACT,0.4721,15.427567193088178,BILIARY TRACT
SNU324_PANCREAS,0.4052,20.179750216167022,PANCREAS
SNU349_KIDNEY,0.4766,17.12264845483629,KIDNEY
SNU387_LIVER,0.4782,13.830159506727794,LIVER
SNU398_LIVER,0.5779,9.740156616305145,LIVER
SNU407_LARGE_INTESTINE,0.3305,15.412894576094873,LARGE INTESTINE
SNU410_PANCREAS,0.4581,16.51585913598968,PANCREAS
SNU423_LIVER,0.4914,13.182132610860602,LIVER
SNU449_LIVER,0.4588,17.789088246755515,LIVER
SNU466_CENTRAL_NERVOUS_SYSTEM,0.5818,11.486133875754646,CENTRAL NERVOUS SYSTEM
SNU46_UPPER_AERODIGESTIVE_TRACT,0.463,14.677336851811186,UPPER AERODIGESTIVE TRACT
SNU475_LIVER,0.4706,14.213910771824576,LIVER
SNU478_BILIARY_TRACT,0.4269,17.66482170492361,BILIARY TRACT
SNU489_CENTRAL_NERVOUS_SYSTEM,0.4643,14.151786741810373,CENTRAL NERVOUS SYSTEM
SNU503_LARGE_INTESTINE,0.5876,11.707253781786292,LARGE INTESTINE
SNU520_STOMACH,0.3149,13.663972293117304,STOMACH
SNU601_STOMACH,0.3211,16.104620626554258,STOMACH
SNU61_LARGE_INTESTINE,0.3081,13.20583846109891,LARGE INTESTINE
SNU620_STOMACH,0.3146,13.73391066850589,STOMACH
SNU626_CENTRAL_NERVOUS_SYSTEM,0.4664,14.42092964699299,CENTRAL NERVOUS SYSTEM
SNU668_STOMACH,0.4596,16.677320289732204,STOMACH
SNU685_ENDOMETRIUM,0.4721,13.981020944077438,ENDOMETRIUM
SNU719_STOMACH,0.3101,13.304487644564414,STOMACH
SNU738_CENTRAL_NERVOUS_SYSTEM,0.5895,10.088150081073543,CENTRAL NERVOUS SYSTEM
SNU761_LIVER,0.4481,17.957431935256185,LIVER
SNU81_LARGE_INTESTINE,0.3014,14.009002939064358,LARGE INTESTINE
SNU840_OVARY,0.4774,13.391856966262567,OVARY
SNU869_BILIARY_TRACT,0.3841,22.025954710898365,BILIARY TRACT
SNU878_LIVER,0.4646,17.541748819069934,LIVER
SNU886_LIVER,0.463,17.09891039092584,LIVER
SNU899_UPPER_AERODIGESTIVE_TRACT,0.5071,13.404210757991526,UPPER AERODIGESTIVE TRACT
SNU8_OVARY,0.4488,16.396487580244365,OVARY
SNUC1_LARGE_INTESTINE,0.31,13.969662753051647,LARGE INTESTINE
SNUC4_LARGE_INTESTINE,0.3048,14.094409764153353,LARGE INTESTINE
SNUC5_LARGE_INTESTINE,0.3709,19.70259612478719,LARGE INTESTINE
SQ1_LUNG,0.4451,16.55965657319905,LUNG
SR786_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.5682,7.833622629591933,HAEMATOPOIETIC AND LYMPHOID TISSUE
ST486_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.5531,7.321742698457882,HAEMATOPOIETIC AND LYMPHOID TISSUE
SU8686_PANCREAS,0.4054,16.70208756279097,PANCREAS
SUDHL10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.5604,6.944757153321219,HAEMATOPOIETIC AND LYMPHOID TISSUE
SUDHL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.5703,7.9060499306596865,HAEMATOPOIETIC AND LYMPHOID TISSUE
SUDHL4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.5606,6.931373767079414,HAEMATOPOIETIC AND LYMPHOID TISSUE
SUDHL5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.5549,6.980017959018526,HAEMATOPOIETIC AND LYMPHOID TISSUE
SUDHL6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.5473,7.085385264189572,HAEMATOPOIETIC AND LYMPHOID TISSUE
SUDHL8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.5621,7.539515407208999,HAEMATOPOIETIC AND LYMPHOID TISSUE
SUPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.5713,7.834424511598622,HAEMATOPOIETIC AND LYMPHOID TISSUE
SUPT11_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.5542,7.282229911535949,HAEMATOPOIETIC AND LYMPHOID TISSUE
SUPT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.5535,7.3172769429491,HAEMATOPOIETIC AND LYMPHOID TISSUE
SW1088_CENTRAL_NERVOUS_SYSTEM,0.4639,14.29086987549926,CENTRAL NERVOUS SYSTEM
SW1353_BONE,0.4635,13.572080652210785,BONE
SW1463_LARGE_INTESTINE,0.3285,15.350007735955712,LARGE INTESTINE
SW1783_CENTRAL_NERVOUS_SYSTEM,0.4659,13.965975972530964,CENTRAL NERVOUS SYSTEM
SW1990_PANCREAS,0.47,15.82150067756208,PANCREAS
SW837_LARGE_INTESTINE,0.3719,19.801430494981823,LARGE INTESTINE
T47D_BREAST,0.3679,10.71059552441794,BREAST
TALL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.5539,7.342569050139676,HAEMATOPOIETIC AND LYMPHOID TISSUE
TCCPAN2_PANCREAS,0.417,19.08041734828487,PANCREAS
TE10_OESOPHAGUS,0.5851,11.728780631979932,OESOPHAGUS
TE11_OESOPHAGUS,0.5846,11.515859008286515,OESOPHAGUS
TE14_OESOPHAGUS,0.5875,11.713516566256404,OESOPHAGUS
TE15_OESOPHAGUS,0.5788,11.587343117643949,OESOPHAGUS
TE1_OESOPHAGUS,0.461,12.776428005616376,OESOPHAGUS
TE4_OESOPHAGUS,0.4555,15.908996647452945,OESOPHAGUS
TE5_OESOPHAGUS,0.5802,10.172426668183228,OESOPHAGUS
TE6_OESOPHAGUS,0.5816,11.841447411124102,OESOPHAGUS
TE8_OESOPHAGUS,0.4601,12.923072509077366,OESOPHAGUS
TE9_OESOPHAGUS,0.5793,11.533808536773014,OESOPHAGUS
TF1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.4407,19.01171299728092,HAEMATOPOIETIC AND LYMPHOID TISSUE
THP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.5404,7.530424483580933,HAEMATOPOIETIC AND LYMPHOID TISSUE
TOLEDO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.5713,8.320288417420024,HAEMATOPOIETIC AND LYMPHOID TISSUE
TT2609C02_THYROID,0.5974,10.587414408460024,THYROID
TUHR10TKB_KIDNEY,0.4673,16.86837448178007,KIDNEY
TUHR14TKB_KIDNEY,0.4722,17.26780500995426,KIDNEY
U266B1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.537,7.14694282464024,HAEMATOPOIETIC AND LYMPHOID TISSUE
UACC257_SKIN,0.617,10.71141949553559,SKIN
UACC62_SKIN,0.6109,11.025859088640324,SKIN
UACC812_BREAST,0.365,10.79125255766153,BREAST
UO31_KIDNEY,0.4706,15.679897028005485,KIDNEY
WM1799_SKIN,0.614,10.828613176300156,SKIN
WM793_SKIN,0.5795,11.588715098471274,SKIN
WM88_SKIN,0.6122,10.951285412946604,SKIN
WM983B_SKIN,0.6131,10.854574861490631,SKIN
WSUDLCL2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.561,6.924013125469325,HAEMATOPOIETIC AND LYMPHOID TISSUE
YAPC_PANCREAS,0.3752,20.577614413259106,PANCREAS
YD10B_UPPER_AERODIGESTIVE_TRACT,0.5789,11.379627354988218,UPPER AERODIGESTIVE TRACT
YD15_SALIVARY_GLAND,0.5833,11.371696670450742,SALIVARY GLAND
YD38_UPPER_AERODIGESTIVE_TRACT,0.5822,11.212096076094491,UPPER AERODIGESTIVE TRACT
YD8_UPPER_AERODIGESTIVE_TRACT,0.4779,13.73695987484126,UPPER AERODIGESTIVE TRACT
ZR751_BREAST,0.3653,10.843867214487965,BREAST
ZR7530_BREAST,0.3664,10.75252783520584,BREAST
